file_off	va	region	length	string
0x4DEA	0x3F404DEA	DROM	33	E (%u) %s: %s(%d): data bit error
0x4E0D	0x3F404E0D	DROM	33	E (%u) %s: %s(%d): stop bit error
0x4E30	0x3F404E30	DROM	39	E (%u) %s: %s(%d): rx flow thresh error
0x4E59	0x3F404E59	DROM	41	E (%u) %s: %s(%d): hw_flowctrl mode error
0x4E84	0x3F404E84	DROM	36	E (%u) %s: %s(%d): uart driver error
0x4EAA	0x3F404EAA	DROM	45	E (%u) %s: %s(%d): empty intr threshold error
0x4ED9	0x3F404ED9	DROM	34	E (%u) %s: %s(%d): tx_io_num error
0x4EFD	0x3F404EFD	DROM	34	E (%u) %s: %s(%d): rx_io_num error
0x4F21	0x3F404F21	DROM	35	E (%u) %s: %s(%d): rts_io_num error
0x4F46	0x3F404F46	DROM	35	E (%u) %s: %s(%d): cts_io_num error
0x4F6B	0x3F404F6B	DROM	29	E (%u) %s: %s(%d): param null
0x4F8A	0x3F404F8A	DROM	107	!(is_rs485_mode && disabled && uart_hal_get_intraw_mask(&(uart_context[uart_num].hal)) & UART_INTR_TX_DONE)
0x4FF6	0x3F404FF6	DROM	29	/IDF/components/driver/uart.c
0x5014	0x3F405014	DROM	30	E (%u) %s: %s(%d): buffer null
0x5034	0x3F405034	DROM	34	E (%u) %s: %s(%d): uart size error
0x5058	0x3F405058	DROM	33	E (%u) %s: %s(%d): uart data null
0x507B	0x3F40507B	DROM	34	E (%u) %s: %s(%d): break_num error
0x509F	0x3F40509F	DROM	38	E (%u) %s: %s(%d): arg pointer is NULL
0x50C7	0x3F4050C7	DROM	32	E (%u) %s: rx_buffered_len error
0x50E9	0x3F4050E9	DROM	46	E (%u) %s: %s(%d): uart rx buffer length error
0x5119	0x3F405119	DROM	46	E (%u) %s: %s(%d): uart tx buffer length error
0x5149	0x3F405149	DROM	35	E (%u) %s: UART driver malloc error
0x516E	0x3F40516E	DROM	40	E (%u) %s: UART driver already installed
0x51A0	0x3F4051A0	DROM	53	E (%u) %s: %s(%d): rx fifo full threshold value error
0x51D7	0x3F4051D7	DROM	45	E (%u) %s: call uart_driver_install API first
0x5206	0x3F405206	DROM	48	E (%u) %s: tout_thresh = %d > maximum value = %d
0x5238	0x3F405238	DROM	19	uart_set_rx_timeout
0x524C	0x3F40524C	DROM	26	uart_set_rx_full_threshold
0x5267	0x3F405267	DROM	18	uart_driver_delete
0x527A	0x3F40527A	DROM	19	uart_driver_install
0x528E	0x3F40528E	DROM	16	uart_flush_input
0x529F	0x3F40529F	DROM	28	uart_get_tx_buffer_free_size
0x52BC	0x3F4052BC	DROM	26	uart_get_buffered_data_len
0x52D7	0x3F4052D7	DROM	23	uart_reenable_intr_mask
0x52EF	0x3F4052EF	DROM	15	uart_read_bytes
0x52FF	0x3F4052FF	DROM	16	uart_write_bytes
0x5310	0x3F405310	DROM	17	uart_wait_tx_done
0x5322	0x3F405322	DROM	17	uart_wait_tx_done
0x5334	0x3F405334	DROM	16	uart_intr_config
0x5345	0x3F405345	DROM	17	uart_param_config
0x5357	0x3F405357	DROM	22	gpio_ll_iomux_func_sel
0x536E	0x3F40536E	DROM	12	uart_set_pin
0x537B	0x3F40537B	DROM	17	uart_isr_register
0x538D	0x3F40538D	DROM	19	uart_enable_tx_intr
0x53A1	0x3F4053A1	DROM	24	uart_pattern_queue_reset
0x53BA	0x3F4053BA	DROM	22	uart_disable_intr_mask
0x53D1	0x3F4053D1	DROM	21	uart_set_line_inverse
0x53E7	0x3F4053E7	DROM	17	uart_get_baudrate
0x53F9	0x3F4053F9	DROM	17	uart_set_baudrate
0x540B	0x3F40540B	DROM	15	uart_get_parity
0x541B	0x3F40541B	DROM	15	uart_set_parity
0x542B	0x3F40542B	DROM	18	uart_get_stop_bits
0x543E	0x3F40543E	DROM	18	uart_set_stop_bits
0x5451	0x3F405451	DROM	20	uart_get_word_length
0x5466	0x3F405466	DROM	20	uart_set_word_length
0x547B	0x3F40547B	DROM	11	esp_ota_ops
0x5487	0x3F405487	DROM	28	E (%u) %s: not found otadata
